configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,4853744,2.826
1,50%,xz,-3,1,4853736,2.826
10,100%,xz,-9,1,4415072,3.532
11,50%,lzma,-6,16,4414351,3.648
12,75%,xz,-3,32,4853744,2.853
13,50%,lzma,-3,16,4852943,2.834
14,50%,lzma,-6,32,4414351,3.642
15,50%,xz,-6,32,4415080,3.622
16,75%,lzma,-3,16,4852943,2.88
17,75%,lzma,-6,32,4414351,3.65
18,100%,lzma,-6,1,4414351,3.668
19,75%,lzma,-3,1,4852943,2.88
2,75%,xz,-9,16,4415080,3.592
20,75%,lzma,-6,1,4414351,3.681
21,75%,lzma,-6,16,4414351,3.683
22,100%,xz,-9,32,4415080,3.641
23,100%,xz,-9,16,4415080,3.594
24,50%,lzma,-9,32,4414351,3.565
25,50%,lzma,-3,32,4852943,2.874
26,100%,xz,-3,1,4853736,2.84
27,100%,lzma,-9,16,4414351,3.587
28,100%,lzma,-3,1,4852943,2.829
29,50%,lzma,-6,1,4414351,3.632
3,100%,xz,-6,32,4415080,3.641
4,50%,lzma,-3,1,4852943,2.805
5,75%,xz,-3,1,4853736,2.808
6,100%,lzma,-6,16,4414351,3.614
7,75%,xz,-6,32,4415080,3.665
8,50%,xz,-3,32,4853744,2.862
9,75%,xz,-9,32,4415080,3.565
