configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,550360,0.492
1,50%,xz,-3,1,550352,0.48
10,100%,xz,-9,1,487492,1.224
11,50%,lzma,-6,16,487374,1.158
12,75%,xz,-3,32,550360,0.454
13,50%,lzma,-3,16,550228,0.449
14,50%,lzma,-6,32,487374,1.194
15,50%,xz,-6,32,487500,1.189
16,75%,lzma,-3,16,550228,0.446
17,75%,lzma,-6,32,487374,1.195
18,100%,lzma,-6,1,487374,1.212
19,75%,lzma,-3,1,550228,0.462
2,75%,xz,-9,16,487500,1.225
20,75%,lzma,-6,1,487374,1.187
21,75%,lzma,-6,16,487374,1.175
22,100%,xz,-9,32,487500,1.254
23,100%,xz,-9,16,487500,1.227
24,50%,lzma,-9,32,487374,1.231
25,50%,lzma,-3,32,550228,0.445
26,100%,xz,-3,1,550352,0.478
27,100%,lzma,-9,16,487374,1.213
28,100%,lzma,-3,1,550228,0.452
29,50%,lzma,-6,1,487374,1.193
3,100%,xz,-6,32,487500,1.199
4,50%,lzma,-3,1,550228,0.441
5,75%,xz,-3,1,550352,0.45
6,100%,lzma,-6,16,487374,1.161
7,75%,xz,-6,32,487500,1.193
8,50%,xz,-3,32,550360,0.456
9,75%,xz,-9,32,487500,1.249
