configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,47492,0.064
1,50%,xz,-3,1,47484,0.062
10,100%,xz,-9,1,44536,0.112
11,50%,lzma,-6,16,44489,0.089
12,75%,xz,-3,32,47492,0.066
13,50%,lzma,-3,16,47437,0.06
14,50%,lzma,-6,32,44489,0.096
15,50%,xz,-6,32,44544,0.097
16,75%,lzma,-3,16,47437,0.06
17,75%,lzma,-6,32,44489,0.097
18,100%,lzma,-6,1,44489,0.096
19,75%,lzma,-3,1,47437,0.064
2,75%,xz,-9,16,44544,0.113
20,75%,lzma,-6,1,44489,0.095
21,75%,lzma,-6,16,44489,0.094
22,100%,xz,-9,32,44544,0.109
23,100%,xz,-9,16,44544,0.114
24,50%,lzma,-9,32,44489,0.105
25,50%,lzma,-3,32,47437,0.057
26,100%,xz,-3,1,47484,0.058
27,100%,lzma,-9,16,44489,0.105
28,100%,lzma,-3,1,47437,0.061
29,50%,lzma,-6,1,44489,0.1
3,100%,xz,-6,32,44544,0.099
4,50%,lzma,-3,1,47437,0.059
5,75%,xz,-3,1,47484,0.06
6,100%,lzma,-6,16,44489,0.093
7,75%,xz,-6,32,44544,0.104
8,50%,xz,-3,32,47492,0.069
9,75%,xz,-9,32,44544,0.117
