configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,55692,0.062
1,50%,xz,-3,1,55684,0.062
10,100%,xz,-9,1,53364,0.11
11,50%,lzma,-6,16,53319,0.08
12,75%,xz,-3,32,55692,0.059
13,50%,lzma,-3,16,55636,0.061
14,50%,lzma,-6,32,53319,0.086
15,50%,xz,-6,32,53372,0.089
16,75%,lzma,-3,16,55636,0.056
17,75%,lzma,-6,32,53319,0.082
18,100%,lzma,-6,1,53319,0.081
19,75%,lzma,-3,1,55636,0.053
2,75%,xz,-9,16,53372,0.113
20,75%,lzma,-6,1,53319,0.08
21,75%,lzma,-6,16,53319,0.084
22,100%,xz,-9,32,53372,0.111
23,100%,xz,-9,16,53372,0.107
24,50%,lzma,-9,32,53319,0.108
25,50%,lzma,-3,32,55636,0.059
26,100%,xz,-3,1,55684,0.054
27,100%,lzma,-9,16,53319,0.108
28,100%,lzma,-3,1,55636,0.058
29,50%,lzma,-6,1,53319,0.084
3,100%,xz,-6,32,53372,0.085
4,50%,lzma,-3,1,55636,0.058
5,75%,xz,-3,1,55684,0.057
6,100%,lzma,-6,16,53319,0.084
7,75%,xz,-6,32,53372,0.085
8,50%,xz,-3,32,55692,0.06
9,75%,xz,-9,32,53372,0.11
