configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,7980,0.045
1,50%,xz,-3,1,7972,0.04
10,100%,xz,-9,1,7644,0.055
11,50%,lzma,-6,16,7600,0.048
12,75%,xz,-3,32,7980,0.041
13,50%,lzma,-3,16,7924,0.043
14,50%,lzma,-6,32,7600,0.052
15,50%,xz,-6,32,7652,0.052
16,75%,lzma,-3,16,7924,0.039
17,75%,lzma,-6,32,7600,0.049
18,100%,lzma,-6,1,7600,0.053
19,75%,lzma,-3,1,7924,0.042
2,75%,xz,-9,16,7652,0.059
20,75%,lzma,-6,1,7600,0.052
21,75%,lzma,-6,16,7600,0.047
22,100%,xz,-9,32,7652,0.064
23,100%,xz,-9,16,7652,0.063
24,50%,lzma,-9,32,7600,0.057
25,50%,lzma,-3,32,7924,0.042
26,100%,xz,-3,1,7972,0.043
27,100%,lzma,-9,16,7600,0.06
28,100%,lzma,-3,1,7924,0.041
29,50%,lzma,-6,1,7600,0.049
3,100%,xz,-6,32,7652,0.05
4,50%,lzma,-3,1,7924,0.042
5,75%,xz,-3,1,7972,0.039
6,100%,lzma,-6,16,7600,0.055
7,75%,xz,-6,32,7652,0.057
8,50%,xz,-3,32,7980,0.043
9,75%,xz,-9,32,7652,0.061
