configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,28856,0.06
1,50%,xz,-3,1,28848,0.052
10,100%,xz,-9,1,27228,0.084
11,50%,lzma,-6,16,27183,0.077
12,75%,xz,-3,32,28856,0.053
13,50%,lzma,-3,16,28803,0.051
14,50%,lzma,-6,32,27183,0.077
15,50%,xz,-6,32,27236,0.082
16,75%,lzma,-3,16,28803,0.052
17,75%,lzma,-6,32,27183,0.074
18,100%,lzma,-6,1,27183,0.077
19,75%,lzma,-3,1,28803,0.05
2,75%,xz,-9,16,27236,0.091
20,75%,lzma,-6,1,27183,0.078
21,75%,lzma,-6,16,27183,0.077
22,100%,xz,-9,32,27236,0.093
23,100%,xz,-9,16,27236,0.093
24,50%,lzma,-9,32,27183,0.087
25,50%,lzma,-3,32,28803,0.053
26,100%,xz,-3,1,28848,0.048
27,100%,lzma,-9,16,27183,0.089
28,100%,lzma,-3,1,28803,0.051
29,50%,lzma,-6,1,27183,0.079
3,100%,xz,-6,32,27236,0.083
4,50%,lzma,-3,1,28803,0.05
5,75%,xz,-3,1,28848,0.052
6,100%,lzma,-6,16,27183,0.078
7,75%,xz,-6,32,27236,0.085
8,50%,xz,-3,32,28856,0.055
9,75%,xz,-9,32,27236,0.092
