configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,126872,0.111
1,50%,xz,-3,1,126864,0.106
10,100%,xz,-9,1,118900,0.236
11,50%,lzma,-6,16,118846,0.196
12,75%,xz,-3,32,126872,0.101
13,50%,lzma,-3,16,126801,0.101
14,50%,lzma,-6,32,118846,0.195
15,50%,xz,-6,32,118908,0.203
16,75%,lzma,-3,16,126801,0.101
17,75%,lzma,-6,32,118846,0.197
18,100%,lzma,-6,1,118846,0.199
19,75%,lzma,-3,1,126801,0.102
2,75%,xz,-9,16,118908,0.245
20,75%,lzma,-6,1,118846,0.194
21,75%,lzma,-6,16,118846,0.199
22,100%,xz,-9,32,118908,0.25
23,100%,xz,-9,16,118908,0.245
24,50%,lzma,-9,32,118846,0.239
25,50%,lzma,-3,32,126801,0.102
26,100%,xz,-3,1,126864,0.1
27,100%,lzma,-9,16,118846,0.238
28,100%,lzma,-3,1,126801,0.105
29,50%,lzma,-6,1,118846,0.193
3,100%,xz,-6,32,118908,0.201
4,50%,lzma,-3,1,126801,0.103
5,75%,xz,-3,1,126864,0.102
6,100%,lzma,-6,16,118846,0.193
7,75%,xz,-6,32,118908,0.199
8,50%,xz,-3,32,126872,0.109
9,75%,xz,-9,32,118908,0.246
