configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,9608,0.045
1,50%,xz,-3,1,9600,0.041
10,100%,xz,-9,1,9428,0.066
11,50%,lzma,-6,16,9381,0.048
12,75%,xz,-3,32,9608,0.047
13,50%,lzma,-3,16,9555,0.04
14,50%,lzma,-6,32,9381,0.047
15,50%,xz,-6,32,9436,0.055
16,75%,lzma,-3,16,9555,0.039
17,75%,lzma,-6,32,9381,0.049
18,100%,lzma,-6,1,9381,0.046
19,75%,lzma,-3,1,9555,0.041
2,75%,xz,-9,16,9436,0.066
20,75%,lzma,-6,1,9381,0.05
21,75%,lzma,-6,16,9381,0.051
22,100%,xz,-9,32,9436,0.073
23,100%,xz,-9,16,9436,0.068
24,50%,lzma,-9,32,9381,0.064
25,50%,lzma,-3,32,9555,0.041
26,100%,xz,-3,1,9600,0.037
27,100%,lzma,-9,16,9381,0.062
28,100%,lzma,-3,1,9555,0.044
29,50%,lzma,-6,1,9381,0.052
3,100%,xz,-6,32,9436,0.051
4,50%,lzma,-3,1,9555,0.043
5,75%,xz,-3,1,9600,0.042
6,100%,lzma,-6,16,9381,0.051
7,75%,xz,-6,32,9436,0.051
8,50%,xz,-3,32,9608,0.045
9,75%,xz,-9,32,9436,0.07
