configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,10432656,5.251
1,50%,xz,-3,1,10362252,12.469
10,100%,xz,-9,1,8385868,34.422
11,50%,lzma,-6,16,8627467,29.8
12,75%,xz,-3,32,10432656,5.202
13,50%,lzma,-3,16,10360607,12.339
14,50%,lzma,-6,32,8627467,29.863
15,50%,xz,-6,32,8712308,18.617
16,75%,lzma,-3,16,10360607,12.453
17,75%,lzma,-6,32,8627467,29.87
18,100%,lzma,-6,1,8627467,29.758
19,75%,lzma,-3,1,10360607,12.431
2,75%,xz,-9,16,8385876,34.305
20,75%,lzma,-6,1,8627467,29.651
21,75%,lzma,-6,16,8627467,29.899
22,100%,xz,-9,32,8385876,34.413
23,100%,xz,-9,16,8385876,34.368
24,50%,lzma,-9,32,8384529,34.509
25,50%,lzma,-3,32,10360607,12.524
26,100%,xz,-3,1,10362252,12.344
27,100%,lzma,-9,16,8384529,34.389
28,100%,lzma,-3,1,10360607,12.322
29,50%,lzma,-6,1,8627467,29.754
3,100%,xz,-6,32,8712308,18.632
4,50%,lzma,-3,1,10360607,12.461
5,75%,xz,-3,1,10362252,12.319
6,100%,lzma,-6,16,8627467,29.764
7,75%,xz,-6,32,8712308,18.758
8,50%,xz,-3,32,10432656,5.21
9,75%,xz,-9,32,8385876,34.479
