configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,1336,0.031
1,50%,xz,-3,1,1328,0.033
10,100%,xz,-9,1,1292,0.033
11,50%,lzma,-6,16,1247,0.037
12,75%,xz,-3,32,1336,0.036
13,50%,lzma,-3,16,1284,0.028
14,50%,lzma,-6,32,1247,0.032
15,50%,xz,-6,32,1300,0.034
16,75%,lzma,-3,16,1284,0.031
17,75%,lzma,-6,32,1247,0.033
18,100%,lzma,-6,1,1247,0.036
19,75%,lzma,-3,1,1284,0.033
2,75%,xz,-9,16,1300,0.035
20,75%,lzma,-6,1,1247,0.037
21,75%,lzma,-6,16,1247,0.034
22,100%,xz,-9,32,1300,0.035
23,100%,xz,-9,16,1300,0.036
24,50%,lzma,-9,32,1247,0.036
25,50%,lzma,-3,32,1284,0.03
26,100%,xz,-3,1,1328,0.035
27,100%,lzma,-9,16,1247,0.034
28,100%,lzma,-3,1,1284,0.031
29,50%,lzma,-6,1,1247,0.033
3,100%,xz,-6,32,1300,0.04
4,50%,lzma,-3,1,1284,0.032
5,75%,xz,-3,1,1328,0.033
6,100%,lzma,-6,16,1247,0.034
7,75%,xz,-6,32,1300,0.04
8,50%,xz,-3,32,1336,0.031
9,75%,xz,-9,32,1300,0.033
