configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,287368,0.242
1,50%,xz,-3,1,287360,0.228
10,100%,xz,-9,1,261116,0.428
11,50%,lzma,-6,16,261032,0.403
12,75%,xz,-3,32,287368,0.23
13,50%,lzma,-3,16,287278,0.247
14,50%,lzma,-6,32,261032,0.438
15,50%,xz,-6,32,261124,0.407
16,75%,lzma,-3,16,287278,0.244
17,75%,lzma,-6,32,261032,0.404
18,100%,lzma,-6,1,261032,0.441
19,75%,lzma,-3,1,287278,0.247
2,75%,xz,-9,16,261124,0.463
20,75%,lzma,-6,1,261032,0.431
21,75%,lzma,-6,16,261032,0.423
22,100%,xz,-9,32,261124,0.435
23,100%,xz,-9,16,261124,0.436
24,50%,lzma,-9,32,261032,0.43
25,50%,lzma,-3,32,287278,0.246
26,100%,xz,-3,1,287360,0.225
27,100%,lzma,-9,16,261032,0.425
28,100%,lzma,-3,1,287278,0.248
29,50%,lzma,-6,1,261032,0.429
3,100%,xz,-6,32,261124,0.408
4,50%,lzma,-3,1,287278,0.224
5,75%,xz,-3,1,287360,0.222
6,100%,lzma,-6,16,261032,0.415
7,75%,xz,-6,32,261124,0.443
8,50%,xz,-3,32,287368,0.249
9,75%,xz,-9,32,261124,0.435
