configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,186004,0.174
1,50%,xz,-3,1,185996,0.158
10,100%,xz,-9,1,169824,0.376
11,50%,lzma,-6,16,169760,0.344
12,75%,xz,-3,32,186004,0.15
13,50%,lzma,-3,16,185921,0.161
14,50%,lzma,-6,32,169760,0.331
15,50%,xz,-6,32,169832,0.339
16,75%,lzma,-3,16,185921,0.145
17,75%,lzma,-6,32,169760,0.292
18,100%,lzma,-6,1,169760,0.326
19,75%,lzma,-3,1,185921,0.145
2,75%,xz,-9,16,169832,0.333
20,75%,lzma,-6,1,169760,0.294
21,75%,lzma,-6,16,169760,0.296
22,100%,xz,-9,32,169832,0.367
23,100%,xz,-9,16,169832,0.373
24,50%,lzma,-9,32,169760,0.33
25,50%,lzma,-3,32,185921,0.158
26,100%,xz,-3,1,185996,0.147
27,100%,lzma,-9,16,169760,0.361
28,100%,lzma,-3,1,185921,0.145
29,50%,lzma,-6,1,169760,0.296
3,100%,xz,-6,32,169832,0.333
4,50%,lzma,-3,1,185921,0.146
5,75%,xz,-3,1,185996,0.149
6,100%,lzma,-6,16,169760,0.327
7,75%,xz,-6,32,169832,0.3
8,50%,xz,-3,32,186004,0.167
9,75%,xz,-9,32,169832,0.336
