configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,184,0.035
1,50%,xz,-3,1,176,0.026
10,100%,xz,-9,1,176,0.032
11,50%,lzma,-6,16,129,0.034
12,75%,xz,-3,32,184,0.032
13,50%,lzma,-3,16,129,0.03
14,50%,lzma,-6,32,129,0.029
15,50%,xz,-6,32,184,0.033
16,75%,lzma,-3,16,129,0.027
17,75%,lzma,-6,32,129,0.03
18,100%,lzma,-6,1,129,0.035
19,75%,lzma,-3,1,129,0.03
2,75%,xz,-9,16,184,0.034
20,75%,lzma,-6,1,129,0.032
21,75%,lzma,-6,16,129,0.032
22,100%,xz,-9,32,184,0.034
23,100%,xz,-9,16,184,0.037
24,50%,lzma,-9,32,129,0.032
25,50%,lzma,-3,32,129,0.031
26,100%,xz,-3,1,176,0.031
27,100%,lzma,-9,16,129,0.032
28,100%,lzma,-3,1,129,0.03
29,50%,lzma,-6,1,129,0.031
3,100%,xz,-6,32,184,0.034
4,50%,lzma,-3,1,129,0.03
5,75%,xz,-3,1,176,0.027
6,100%,lzma,-6,16,129,0.031
7,75%,xz,-6,32,184,0.034
8,50%,xz,-3,32,184,0.033
9,75%,xz,-9,32,184,0.034
